player	tourn	cat	round	grouping_id	scorerd	year	handicap	fairrd	drivdist	greenrd	putts	first_year	namelen	hand_i	fairrd_i	drivdist_i	greenrd_i	putts_i	first_year_i	namelen_i	mscore	scoreresid	ntourn	teegprd1	teegprd2	missed_cut	score_i	istiger	tigeringrp	purse	log_purse
"kevin johnson"	"b.c. open_2002"	"3"	2	"3632_2"	68	2002	-2.0619675	8.709375	283.125	11.31302	24.99281	13	13	.99264706	6.5	288.54999	8.75	29.25	1	10	71.587302	.5287036	64	3632	3529	0	69	0	0	2.26737	14.634131
"kevin johnson"	"b.c. open_2002"	"3"	1	"3632_1"	67	2002	-2.0619675	8.709375	283.125	11.31302	24.99281	13	13	.99264706	6.5	288.54999	8.75	29.25	1	10	71.587302	.5287036	64	3632	3529	0	71	0	0	2.26737	14.634131
"scott watkins"	"touchstone energy tucson open_2002"	"3"	1	"1007_1"	69	2002	.79373875	9.25	270.75	9	29.75	22	13	-2.5663171	9.8359063	271.06117	11.459562	28.854942	11	13.5	75	2.3360287	4	1007	941	0	69	0	0	3.2391	14.990806
"scott watkins"	"touchstone energy tucson open_2002"	"3"	2	"1007_2"	68	2002	.79373875	9.25	270.75	9	29.75	22	13	-2.5663171	9.8359063	271.06117	11.459562	28.854942	11	13.5	75	2.3360287	4	1007	941	0	73.5	0	0	3.2391	14.990806
"paul casey"	"honda classic_2002"	"3"	1	"1747_1"	68	2002	-2.2236148	8.611111	298.9667	11.47222	30.08333	1	10	-.43921433	7.9784946	281.03789	10.233871	29.62371	1.5	9.5	73	1.9716086	6	1747	1729	0	71	0	0	3.77895	15.144957
"paul casey"	"phoenix open_2002"	"3"	2	"210_2"	67	2002	-2.2236148	8.611111	298.9667	11.47222	30.08333	1	10	-1.3642872	9.75	262.5	11.5	30.5	3	14	73	1.9716086	6	210	187	0	71	0	0	4.3188	15.278488
"paul casey"	"touchstone energy tucson open_2002"	"3"	2	"1001_2"	68	2002	-2.2236148	8.611111	298.9667	11.47222	30.08333	1	10	-1.6806744	9.5615079	271.86759	10.771054	29.826561	5	13	73	1.9716086	6	1001	935	0	70.5	0	0	3.2391	14.990806
"paul casey"	"buick invitational_2002"	"3"	1	"1213_1"	72	2002	-2.2236148	8.611111	298.9667	11.47222	30.08333	1	10	-1.9208803	8.9757812	277.85062	11.092448	27.305844	6	13	73	1.9716086	6	1213	1121	0	75	0	0	3.88692	15.173128
"paul casey"	"honda classic_2002"	"3"	2	"1747_2"	66	2002	-2.2236148	8.611111	298.9667	11.47222	30.08333	1	10	-.43921433	7.9784946	281.03789	10.233871	29.62371	1.5	9.5	73	1.9716086	6	1747	1729	0	69	0	0	3.77895	15.144957
"paul casey"	"touchstone energy tucson open_2002"	"3"	1	"1001_1"	70	2002	-2.2236148	8.611111	298.9667	11.47222	30.08333	1	10	-1.6806744	9.5615079	271.86759	10.771054	29.826561	5	13	73	1.9716086	6	1001	935	0	73.5	0	0	3.2391	14.990806
